#old_id	new_id
evm.model.jcf7180007901955.3	CcGene_00133
evm.model.jcf7180007901958.1	CcGene_00134
evm.model.jcf7180007901989.1	CcGene_00135
evm.model.jcf7180007901996.1	CcGene_00136
evm.model.jcf7180007901996.2	CcGene_00137
evm.model.jcf7180007901996.3	CcGene_00138
evm.model.jcf7180007901996.4	CcGene_00139
evm.model.jcf7180007902015.1	CcGene_00140
evm.model.jcf7180007902015.2	CcGene_00141
evm.model.jcf7180007902016.1	CcGene_00142
evm.model.jcf7180007902029.1	CcGene_00143
evm.model.jcf7180007902048.1	CcGene_00144
evm.model.jcf7180007902048.2	CcGene_00145
evm.model.jcf7180007902053.1	CcGene_00146
evm.model.jcf7180007902053.2	CcGene_00147
evm.model.jcf7180007902053.3	CcGene_00148
evm.model.jcf7180007902053.4	CcGene_00149
evm.model.jcf7180007902053.5	CcGene_00150
evm.model.jcf7180007902053.6	CcGene_00151
evm.model.jcf7180007902054.1	CcGene_00152
evm.model.jcf7180007902077.1	CcGene_00153
evm.model.jcf7180007902078.1	CcGene_00154
evm.model.jcf7180007902079.1	CcGene_00155
evm.model.jcf7180007902079.2	CcGene_00156
evm.model.jcf7180007902079.3	CcGene_00157
evm.model.jcf7180007902079.4	CcGene_00158
evm.model.jcf7180007902079.5	CcGene_00159
evm.model.jcf7180007902079.6	CcGene_00160
evm.model.jcf7180007902114.1	CcGene_00161
evm.model.jcf7180007902114.2	CcGene_00162
evm.model.jcf7180007902114.3	CcGene_00163
evm.model.jcf7180007902114.4	CcGene_00164
evm.model.jcf7180007902117.1	CcGene_00165
evm.model.jcf7180007902117.2	CcGene_00166
evm.model.jcf7180007902117.3	CcGene_00167
evm.model.jcf7180007902118.1	CcGene_00168
evm.model.jcf7180007902120.1	CcGene_00169
evm.model.jcf7180007902138.1	CcGene_00170
evm.model.jcf7180007902141.1	CcGene_00171
evm.model.jcf7180007902142.1	CcGene_00172
evm.model.jcf7180007902145.1	CcGene_00173
evm.model.jcf7180007902147.1	CcGene_00174
evm.model.jcf7180007902149.1	CcGene_00175
evm.model.jcf7180007902154.1	CcGene_00176
evm.model.jcf7180007902183.1	CcGene_00177
evm.model.jcf7180007902183.2	CcGene_00178
evm.model.jcf7180007902186.1	CcGene_00179
evm.model.jcf7180007902187.1	CcGene_00180
evm.model.jcf7180007902187.2	CcGene_00181
evm.model.jcf7180007902187.3	CcGene_00182
evm.model.jcf7180007902189.1	CcGene_00183
evm.model.jcf7180007902227.1	CcGene_00184
evm.model.jcf7180007902227.2	CcGene_00185
evm.model.jcf7180007902229.1	CcGene_00186
evm.model.jcf7180007902229.2	CcGene_00187
evm.model.jcf7180007902230.1	CcGene_00188
evm.model.jcf7180007902232.1	CcGene_00189
evm.model.jcf7180007902235.1	CcGene_00190
evm.model.jcf7180007902235.2	CcGene_00191
evm.model.jcf7180007902238.1	CcGene_00192
evm.model.jcf7180007902238.2	CcGene_00193
evm.model.jcf7180007902255.1	CcGene_00194
evm.model.jcf7180007902277.1	CcGene_00195
evm.model.jcf7180007902277.2	CcGene_00196
evm.model.jcf7180007902277.3	CcGene_00197
evm.model.jcf7180007902279.1	CcGene_00198
evm.model.jcf7180007902281.1	CcGene_00199
evm.model.jcf7180007902283.1	CcGene_00200
evm.model.jcf7180007902285.1	CcGene_00201
evm.model.jcf7180007902291.1	CcGene_00202
evm.model.jcf7180007902293.1	CcGene_00203
evm.model.jcf7180007902293.2	CcGene_00204
evm.model.jcf7180007902317.1	CcGene_00205
evm.model.jcf7180007902318.1	CcGene_00206
evm.model.jcf7180007902320.1	CcGene_00207
evm.model.jcf7180007902320.2	CcGene_00208
evm.model.jcf7180007902323.1	CcGene_00209
evm.model.jcf7180007902328.1	CcGene_00210
