#old_id	new_id
evm.model.jcf7180008021760.1	CcGene_05904
evm.model.jcf7180008021760.2	CcGene_05905
evm.model.jcf7180008021760.3	CcGene_05906
evm.model.jcf7180008021761.1	CcGene_05907
evm.model.jcf7180008021762.1	CcGene_05908
evm.model.jcf7180008021763.1	CcGene_05909
evm.model.jcf7180008021764.1	CcGene_05910
evm.model.jcf7180008021765.1	CcGene_05911
evm.model.jcf7180008021765.2	CcGene_05912
evm.model.jcf7180008021766.1	CcGene_05913
evm.model.jcf7180008021766.2	CcGene_05914
evm.model.jcf7180008021767.1	CcGene_05915
evm.model.jcf7180008021767.2	CcGene_05916
evm.model.jcf7180008021767.3	CcGene_05917
evm.model.jcf7180008021767.4	CcGene_05918
evm.model.jcf7180008021767.5	CcGene_05919
evm.model.jcf7180008021768.1	CcGene_05920
evm.model.jcf7180008021768.2	CcGene_05921
evm.model.jcf7180008021768.3	CcGene_05922
evm.model.jcf7180008021769.1	CcGene_05923
evm.model.jcf7180008021774.1	CcGene_05924
evm.model.jcf7180008021776.1	CcGene_05925
evm.model.jcf7180008021777.1	CcGene_05926
evm.model.jcf7180008021777.2	CcGene_05927
evm.model.jcf7180008021778.1	CcGene_05928
evm.model.jcf7180008021780.1	CcGene_05929
evm.model.jcf7180008021781.1	CcGene_05930
evm.model.jcf7180008021783.1	CcGene_05931
evm.model.jcf7180008021784.1	CcGene_05932
evm.model.jcf7180008021785.1	CcGene_05933
evm.model.jcf7180008021787.1	CcGene_05934
evm.model.jcf7180008021789.1	CcGene_05935
evm.model.jcf7180008021792.1	CcGene_05936
evm.model.jcf7180008021800.1	CcGene_05937
evm.model.jcf7180008021800.2	CcGene_05938
evm.model.jcf7180008021801.1	CcGene_05939
evm.model.jcf7180008021811.1	CcGene_05940
evm.model.jcf7180008021820.1	CcGene_05941
evm.model.jcf7180008021824.1	CcGene_05942
evm.model.jcf7180008021824.2	CcGene_05943
evm.model.jcf7180008021824.3	CcGene_05944
evm.model.jcf7180008021824.4	CcGene_05945
evm.model.jcf7180008021824.5	CcGene_05946
evm.model.jcf7180008021825.1	CcGene_05947
evm.model.jcf7180008021825.2	CcGene_05948
evm.model.jcf7180008021828.1	CcGene_05949
evm.model.jcf7180008021829.1	CcGene_05950
evm.model.jcf7180008021831.1	CcGene_05951
evm.model.jcf7180008021838.1	CcGene_05952
evm.model.jcf7180008021838.2	CcGene_05953
evm.model.jcf7180008021841.1	CcGene_05954
evm.model.jcf7180008021841.10	CcGene_05955
evm.model.jcf7180008021841.11	CcGene_05956
evm.model.jcf7180008021841.2	CcGene_05957
evm.model.jcf7180008021841.3	CcGene_05958
evm.model.jcf7180008021841.4	CcGene_05959
evm.model.jcf7180008021841.5	CcGene_05960
evm.model.jcf7180008021841.6	CcGene_05961
evm.model.jcf7180008021841.7	CcGene_05962
evm.model.jcf7180008021841.8	CcGene_05963
evm.model.jcf7180008021841.9	CcGene_05964
evm.model.jcf7180008021842.1	CcGene_05965
evm.model.jcf7180008021842.2	CcGene_05966
evm.model.jcf7180008021842.3	CcGene_05967
evm.model.jcf7180008021842.4	CcGene_05968
evm.model.jcf7180008021842.5	CcGene_05969
evm.model.jcf7180008021842.6	CcGene_05970
evm.model.jcf7180008021842.7	CcGene_05971
evm.model.jcf7180008021842.8	CcGene_05972
evm.model.jcf7180008021843.1	CcGene_05973
evm.model.jcf7180008021843.2	CcGene_05974
evm.model.jcf7180008021843.3	CcGene_05975
evm.model.jcf7180008021843.4	CcGene_05976
evm.model.jcf7180008021843.5	CcGene_05977
evm.model.jcf7180008021843.6	CcGene_05978
evm.model.jcf7180008021843.7	CcGene_05979
evm.model.jcf7180008021843.8	CcGene_05980
evm.model.jcf7180008021844.1	CcGene_05981
evm.model.jcf7180008021844.2	CcGene_05982
evm.model.jcf7180008021845.1	CcGene_05983
evm.model.jcf7180008021845.2	CcGene_05984
evm.model.jcf7180008021848.1	CcGene_05985
evm.model.jcf7180008021848.2	CcGene_05986
evm.model.jcf7180008021848.3	CcGene_05987
evm.model.jcf7180008021848.4	CcGene_05988
evm.model.jcf7180008021848.5	CcGene_05989
evm.model.jcf7180008021848.6	CcGene_05990
evm.model.jcf7180008021849.1	CcGene_05991
evm.model.jcf7180008021850.1	CcGene_05992
evm.model.jcf7180008021851.1	CcGene_05993
evm.model.jcf7180008021852.1	CcGene_05994
evm.model.jcf7180008021852.2	CcGene_05995
evm.model.jcf7180008021852.3	CcGene_05996
evm.model.jcf7180008021852.4	CcGene_05997
evm.model.jcf7180008021852.5	CcGene_05998
evm.model.jcf7180008021853.1	CcGene_05999
evm.model.jcf7180008021853.2	CcGene_06000
evm.model.jcf7180008021853.3	CcGene_06001
evm.model.jcf7180008021853.4	CcGene_06002
evm.model.jcf7180008021857.1	CcGene_06003
evm.model.jcf7180008021857.2	CcGene_06004
evm.model.jcf7180008021857.3	CcGene_06005
evm.model.jcf7180008021857.4	CcGene_06006
evm.model.jcf7180008021857.5	CcGene_06007
evm.model.jcf7180008021857.6	CcGene_06008
evm.model.jcf7180008021857.7	CcGene_06009
evm.model.jcf7180008021858.1	CcGene_06010
evm.model.jcf7180008021859.1	CcGene_06011
evm.model.jcf7180008021859.2	CcGene_06012
evm.model.jcf7180008021859.3	CcGene_06013
evm.model.jcf7180008021860.1	CcGene_06014
evm.model.jcf7180008021860.2	CcGene_06015
evm.model.jcf7180008021861.1	CcGene_06016
evm.model.jcf7180008021862.1	CcGene_06017
evm.model.jcf7180008021863.1	CcGene_06018
evm.model.jcf7180008021864.1	CcGene_06019
evm.model.jcf7180008021867.1	CcGene_06020
evm.model.jcf7180008021867.2	CcGene_06021
evm.model.jcf7180008021872.1	CcGene_06022
evm.model.jcf7180008021873.1	CcGene_06023
evm.model.jcf7180008021874.1	CcGene_06024
evm.model.jcf7180008021875.1	CcGene_06025
evm.model.jcf7180008021877.1	CcGene_06026
evm.model.jcf7180008021881.1	CcGene_06027
evm.model.jcf7180008021885.1	CcGene_06028
evm.model.jcf7180008021885.2	CcGene_06029
evm.model.jcf7180008021885.3	CcGene_06030
evm.model.jcf7180008021885.4	CcGene_06031
evm.model.jcf7180008021885.5	CcGene_06032
evm.model.jcf7180008021885.6	CcGene_06033
evm.model.jcf7180008021890.1	CcGene_06034
evm.model.jcf7180008021895.1	CcGene_06035
evm.model.jcf7180008021895.2	CcGene_06036
evm.model.jcf7180008021901.1	CcGene_06037
evm.model.jcf7180008021905.1	CcGene_06038
evm.model.jcf7180008021906.1	CcGene_06039
evm.model.jcf7180008021909.1	CcGene_06040
evm.model.jcf7180008021912.1	CcGene_06041
evm.model.jcf7180008021916.1	CcGene_06042
evm.model.jcf7180008021923.1	CcGene_06043
evm.model.jcf7180008021923.2	CcGene_06044
evm.model.jcf7180008021923.3	CcGene_06045
evm.model.jcf7180008021925.1	CcGene_06046
evm.model.jcf7180008021937.1	CcGene_06047
evm.model.jcf7180008021937.2	CcGene_06048
evm.model.jcf7180008021937.3	CcGene_06049
evm.model.jcf7180008021940.1	CcGene_06050
evm.model.jcf7180008021945.1	CcGene_06051
evm.model.jcf7180008021945.2	CcGene_06052
evm.model.jcf7180008021946.1	CcGene_06053
evm.model.jcf7180008021946.2	CcGene_06054
evm.model.jcf7180008021946.3	CcGene_06055
evm.model.jcf7180008021946.4	CcGene_06056
evm.model.jcf7180008021947.1	CcGene_06057
evm.model.jcf7180008021947.2	CcGene_06058
evm.model.jcf7180008021947.3	CcGene_06059
evm.model.jcf7180008021947.4	CcGene_06060
evm.model.jcf7180008021947.5	CcGene_06061
evm.model.jcf7180008021947.6	CcGene_06062
evm.model.jcf7180008021948.1	CcGene_06063
evm.model.jcf7180008021948.2	CcGene_06064
evm.model.jcf7180008021948.3	CcGene_06065
evm.model.jcf7180008021952.1	CcGene_06066
evm.model.jcf7180008021953.1	CcGene_06067
evm.model.jcf7180008021953.2	CcGene_06068
evm.model.jcf7180008021954.1	CcGene_06069
evm.model.jcf7180008021955.1	CcGene_06070
evm.model.jcf7180008021956.1	CcGene_06071
evm.model.jcf7180008021956.2	CcGene_06072
evm.model.jcf7180008021956.3	CcGene_06073
evm.model.jcf7180008021957.1	CcGene_06074
evm.model.jcf7180008021958.1	CcGene_06075
evm.model.jcf7180008021961.1	CcGene_06076
evm.model.jcf7180008021961.2	CcGene_06077
evm.model.jcf7180008021961.3	CcGene_06078
evm.model.jcf7180008021961.4	CcGene_06079
evm.model.jcf7180008021961.5	CcGene_06080
evm.model.jcf7180008021961.6	CcGene_06081
evm.model.jcf7180008021963.1	CcGene_06082
evm.model.jcf7180008021963.2	CcGene_06083
evm.model.jcf7180008021965.1	CcGene_06084
evm.model.jcf7180008021966.1	CcGene_06085
evm.model.jcf7180008021966.2	CcGene_06086
evm.model.jcf7180008021966.3	CcGene_06087
evm.model.jcf7180008021971.1	CcGene_06088
evm.model.jcf7180008021977.1	CcGene_06089
evm.model.jcf7180008021985.1	CcGene_06090
evm.model.jcf7180008021986.1	CcGene_06091
evm.model.jcf7180008021987.1	CcGene_06092
evm.model.jcf7180008021987.2	CcGene_06093
evm.model.jcf7180008021995.1	CcGene_06094
evm.model.jcf7180008021995.2	CcGene_06095
evm.model.jcf7180008021995.3	CcGene_06096
evm.model.jcf7180008022008.1	CcGene_06097
evm.model.jcf7180008022014.1	CcGene_06098
evm.model.jcf7180008022018.1	CcGene_06099
evm.model.jcf7180008022025.1	CcGene_06100
evm.model.jcf7180008022025.2	CcGene_06101
evm.model.jcf7180008022025.3	CcGene_06102
evm.model.jcf7180008022025.4	CcGene_06103
evm.model.jcf7180008022027.1	CcGene_06104
evm.model.jcf7180008022027.2	CcGene_06105
evm.model.jcf7180008022029.1	CcGene_06106
evm.model.jcf7180008022039.1	CcGene_06107
evm.model.jcf7180008022042.1	CcGene_06108
evm.model.jcf7180008022042.2	CcGene_06109
evm.model.jcf7180008022043.1	CcGene_06110
evm.model.jcf7180008022043.2	CcGene_06111
evm.model.jcf7180008022048.1	CcGene_06112
evm.model.jcf7180008022054.1	CcGene_06113
evm.model.jcf7180008022056.1	CcGene_06114
evm.model.jcf7180008022057.1	CcGene_06115
evm.model.jcf7180008022057.2	CcGene_06116
evm.model.jcf7180008022057.3	CcGene_06117
evm.model.jcf7180008022057.4	CcGene_06118
evm.model.jcf7180008022057.5	CcGene_06119
evm.model.jcf7180008022057.6	CcGene_06120
evm.model.jcf7180008022057.7	CcGene_06121
evm.model.jcf7180008022058.1	CcGene_06122
evm.model.jcf7180008022059.1	CcGene_06123
evm.model.jcf7180008022059.2	CcGene_06124
evm.model.jcf7180008022059.3	CcGene_06125
evm.model.jcf7180008022059.4	CcGene_06126
evm.model.jcf7180008022059.5	CcGene_06127
evm.model.jcf7180008022060.1	CcGene_06128
evm.model.jcf7180008022060.10	CcGene_06129
evm.model.jcf7180008022060.2	CcGene_06130
evm.model.jcf7180008022060.3	CcGene_06131
evm.model.jcf7180008022060.4	CcGene_06132
evm.model.jcf7180008022060.5	CcGene_06133
evm.model.jcf7180008022060.6	CcGene_06134
evm.model.jcf7180008022060.7	CcGene_06135
evm.model.jcf7180008022060.8	CcGene_06136
evm.model.jcf7180008022060.9	CcGene_06137
evm.model.jcf7180008022061.1	CcGene_06138
evm.model.jcf7180008022061.2	CcGene_06139
evm.model.jcf7180008022061.3	CcGene_06140
evm.model.jcf7180008022061.4	CcGene_06141
evm.model.jcf7180008022061.5	CcGene_06142
evm.model.jcf7180008022062.1	CcGene_06143
evm.model.jcf7180008022062.2	CcGene_06144
evm.model.jcf7180008022062.3	CcGene_06145
evm.model.jcf7180008022062.4	CcGene_06146
evm.model.jcf7180008022062.5	CcGene_06147
evm.model.jcf7180008022063.1	CcGene_06148
evm.model.jcf7180008022065.1	CcGene_06149
evm.model.jcf7180008022065.2	CcGene_06150
evm.model.jcf7180008022066.1	CcGene_06151
evm.model.jcf7180008022067.1	CcGene_06152
evm.model.jcf7180008022067.2	CcGene_06153
evm.model.jcf7180008022069.1	CcGene_06154
evm.model.jcf7180008022069.2	CcGene_06155
evm.model.jcf7180008022069.3	CcGene_06156
evm.model.jcf7180008022069.4	CcGene_06157
evm.model.jcf7180008022070.1	CcGene_06158
evm.model.jcf7180008022072.1	CcGene_06159
evm.model.jcf7180008022072.2	CcGene_06160
evm.model.jcf7180008022073.1	CcGene_06161
evm.model.jcf7180008022075.1	CcGene_06162
evm.model.jcf7180008022075.2	CcGene_06163
evm.model.jcf7180008022075.3	CcGene_06164
evm.model.jcf7180008022075.4	CcGene_06165
evm.model.jcf7180008022075.5	CcGene_06166
evm.model.jcf7180008022077.1	CcGene_06167
evm.model.jcf7180008022078.1	CcGene_06168
evm.model.jcf7180008022078.2	CcGene_06169
evm.model.jcf7180008022080.1	CcGene_06170
evm.model.jcf7180008022082.1	CcGene_06171
evm.model.jcf7180008022082.2	CcGene_06172
evm.model.jcf7180008022082.3	CcGene_06173
evm.model.jcf7180008022082.4	CcGene_06174
evm.model.jcf7180008022082.5	CcGene_06175
evm.model.jcf7180008022082.6	CcGene_06176
evm.model.jcf7180008022082.7	CcGene_06177
evm.model.jcf7180008022086.1	CcGene_06178
evm.model.jcf7180008022087.1	CcGene_06179
evm.model.jcf7180008022088.1	CcGene_06180
evm.model.jcf7180008022088.2	CcGene_06181
evm.model.jcf7180008022088.3	CcGene_06182
evm.model.jcf7180008022088.4	CcGene_06183
evm.model.jcf7180008022089.1	CcGene_06184
evm.model.jcf7180008022090.1	CcGene_06185
evm.model.jcf7180008022091.1	CcGene_06186
evm.model.jcf7180008022094.1	CcGene_06187
evm.model.jcf7180008022094.2	CcGene_06188
evm.model.jcf7180008022094.3	CcGene_06189
evm.model.jcf7180008022094.4	CcGene_06190
evm.model.jcf7180008022094.5	CcGene_06191
evm.model.jcf7180008022094.6	CcGene_06192
evm.model.jcf7180008022094.7	CcGene_06193
evm.model.jcf7180008022094.8	CcGene_06194
evm.model.jcf7180008022095.1	CcGene_06195
evm.model.jcf7180008022098.1	CcGene_06196
evm.model.jcf7180008022098.2	CcGene_06197
evm.model.jcf7180008022102.1	CcGene_06198
evm.model.jcf7180008022102.2	CcGene_06199
evm.model.jcf7180008022102.3	CcGene_06200
evm.model.jcf7180008022102.4	CcGene_06201
evm.model.jcf7180008022102.5	CcGene_06202
evm.model.jcf7180008022102.6	CcGene_06203
evm.model.jcf7180008022102.7	CcGene_06204
evm.model.jcf7180008022106.1	CcGene_06205
evm.model.jcf7180008022106.2	CcGene_06206
evm.model.jcf7180008022110.1	CcGene_06207
evm.model.jcf7180008022124.1	CcGene_06208
evm.model.jcf7180008022124.2	CcGene_06209
evm.model.jcf7180008022124.3	CcGene_06210
evm.model.jcf7180008022124.4	CcGene_06211
evm.model.jcf7180008022124.5	CcGene_06212
evm.model.jcf7180008022126.1	CcGene_06213
evm.model.jcf7180008022129.1	CcGene_06214
evm.model.jcf7180008022136.1	CcGene_06215
evm.model.jcf7180008022137.1	CcGene_06216
evm.model.jcf7180008022137.2	CcGene_06217
evm.model.jcf7180008022155.1	CcGene_06218
evm.model.jcf7180008022155.2	CcGene_06219
evm.model.jcf7180008022157.1	CcGene_06220
evm.model.jcf7180008022159.1	CcGene_06221
evm.model.jcf7180008022161.1	CcGene_06222
evm.model.jcf7180008022166.1	CcGene_06223
evm.model.jcf7180008022171.1	CcGene_06224
evm.model.jcf7180008022171.2	CcGene_06225
evm.model.jcf7180008022171.3	CcGene_06226
evm.model.jcf7180008022171.4	CcGene_06227
evm.model.jcf7180008022172.1	CcGene_06228
evm.model.jcf7180008022174.1	CcGene_06229
evm.model.jcf7180008022174.2	CcGene_06230
evm.model.jcf7180008022174.3	CcGene_06231
evm.model.jcf7180008022174.4	CcGene_06232
evm.model.jcf7180008022174.5	CcGene_06233
evm.model.jcf7180008022174.6	CcGene_06234
evm.model.jcf7180008022174.7	CcGene_06235
evm.model.jcf7180008022174.8	CcGene_06236
evm.model.jcf7180008022175.1	CcGene_06237
evm.model.jcf7180008022175.2	CcGene_06238
evm.model.jcf7180008022176.1	CcGene_06239
evm.model.jcf7180008022176.2	CcGene_06240
evm.model.jcf7180008022179.1	CcGene_06241
evm.model.jcf7180008022180.1	CcGene_06242
evm.model.jcf7180008022180.2	CcGene_06243
evm.model.jcf7180008022180.3	CcGene_06244
evm.model.jcf7180008022180.4	CcGene_06245
evm.model.jcf7180008022182.1	CcGene_06246
evm.model.jcf7180008022182.2	CcGene_06247
evm.model.jcf7180008022182.3	CcGene_06248
evm.model.jcf7180008022183.1	CcGene_06249
evm.model.jcf7180008022183.2	CcGene_06250
evm.model.jcf7180008022183.3	CcGene_06251
evm.model.jcf7180008022183.4	CcGene_06252
evm.model.jcf7180008022183.5	CcGene_06253
evm.model.jcf7180008022184.1	CcGene_06254
evm.model.jcf7180008022184.2	CcGene_06255
evm.model.jcf7180008022184.3	CcGene_06256
evm.model.jcf7180008022184.4	CcGene_06257
evm.model.jcf7180008022184.5	CcGene_06258
evm.model.jcf7180008022185.1	CcGene_06259
evm.model.jcf7180008022185.2	CcGene_06260
evm.model.jcf7180008022186.1	CcGene_06261
evm.model.jcf7180008022186.2	CcGene_06262
evm.model.jcf7180008022186.3	CcGene_06263
evm.model.jcf7180008022187.1	CcGene_06264
evm.model.jcf7180008022187.2	CcGene_06265
evm.model.jcf7180008022189.1	CcGene_06266
evm.model.jcf7180008022190.1	CcGene_06267
evm.model.jcf7180008022191.1	CcGene_06268
evm.model.jcf7180008022192.1	CcGene_06269
evm.model.jcf7180008022193.1	CcGene_06270
evm.model.jcf7180008022195.1	CcGene_06271
evm.model.jcf7180008022195.2	CcGene_06272
evm.model.jcf7180008022196.1	CcGene_06273
evm.model.jcf7180008022197.1	CcGene_06274
evm.model.jcf7180008022197.2	CcGene_06275
evm.model.jcf7180008022197.3	CcGene_06276
evm.model.jcf7180008022197.4	CcGene_06277
evm.model.jcf7180008022197.5	CcGene_06278
evm.model.jcf7180008022197.6	CcGene_06279
evm.model.jcf7180008022197.7	CcGene_06280
evm.model.jcf7180008022197.8	CcGene_06281
evm.model.jcf7180008022198.1	CcGene_06282
evm.model.jcf7180008022199.1	CcGene_06283
evm.model.jcf7180008022199.2	CcGene_06284
evm.model.jcf7180008022199.3	CcGene_06285
evm.model.jcf7180008022199.4	CcGene_06286
evm.model.jcf7180008022200.1	CcGene_06287
evm.model.jcf7180008022200.2	CcGene_06288
evm.model.jcf7180008022200.3	CcGene_06289
evm.model.jcf7180008022201.1	CcGene_06290
evm.model.jcf7180008022201.2	CcGene_06291
evm.model.jcf7180008022202.1	CcGene_06292
evm.model.jcf7180008022205.1	CcGene_06293
evm.model.jcf7180008022206.1	CcGene_06294
evm.model.jcf7180008022206.2	CcGene_06295
evm.model.jcf7180008022208.1	CcGene_06296
evm.model.jcf7180008022208.2	CcGene_06297
evm.model.jcf7180008022208.3	CcGene_06298
evm.model.jcf7180008022209.1	CcGene_06299
evm.model.jcf7180008022212.1	CcGene_06300
evm.model.jcf7180008022213.1	CcGene_06301
evm.model.jcf7180008022218.1	CcGene_06302
evm.model.jcf7180008022218.2	CcGene_06303
evm.model.jcf7180008022219.1	CcGene_06304
evm.model.jcf7180008022219.2	CcGene_06305
evm.model.jcf7180008022221.1	CcGene_06306
evm.model.jcf7180008022221.10	CcGene_06307
evm.model.jcf7180008022221.11	CcGene_06308
evm.model.jcf7180008022221.12	CcGene_06309
evm.model.jcf7180008022221.13	CcGene_06310
evm.model.jcf7180008022221.14	CcGene_06311
evm.model.jcf7180008022221.15	CcGene_06312
evm.model.jcf7180008022221.16	CcGene_06313
evm.model.jcf7180008022221.17	CcGene_06314
evm.model.jcf7180008022221.18	CcGene_06315
evm.model.jcf7180008022221.2	CcGene_06316
evm.model.jcf7180008022221.3	CcGene_06317
evm.model.jcf7180008022221.4	CcGene_06318
evm.model.jcf7180008022221.5	CcGene_06319
evm.model.jcf7180008022221.6	CcGene_06320
evm.model.jcf7180008022221.7	CcGene_06321
evm.model.jcf7180008022221.8	CcGene_06322
evm.model.jcf7180008022221.9	CcGene_06323
evm.model.jcf7180008022228.1	CcGene_06324
evm.model.jcf7180008022229.1	CcGene_06325
evm.model.jcf7180008022230.1	CcGene_06326
evm.model.jcf7180008022232.1	CcGene_06327
evm.model.jcf7180008022232.2	CcGene_06328
evm.model.jcf7180008022244.1	CcGene_06329
evm.model.jcf7180008022251.1	CcGene_06330
evm.model.jcf7180008022268.1	CcGene_06331
evm.model.jcf7180008022271.1	CcGene_06332
evm.model.jcf7180008022286.1	CcGene_06333
evm.model.jcf7180008022289.1	CcGene_06334
evm.model.jcf7180008022303.1	CcGene_06335
evm.model.jcf7180008022305.1	CcGene_06336
evm.model.jcf7180008022309.1	CcGene_06337
evm.model.jcf7180008022309.2	CcGene_06338
evm.model.jcf7180008022309.3	CcGene_06339
evm.model.jcf7180008022309.4	CcGene_06340
evm.model.jcf7180008022309.5	CcGene_06341
evm.model.jcf7180008022309.6	CcGene_06342
evm.model.jcf7180008022311.1	CcGene_06343
evm.model.jcf7180008022311.2	CcGene_06344
evm.model.jcf7180008022311.3	CcGene_06345
evm.model.jcf7180008022311.4	CcGene_06346
evm.model.jcf7180008022311.5	CcGene_06347
evm.model.jcf7180008022311.6	CcGene_06348
evm.model.jcf7180008022312.1	CcGene_06349
evm.model.jcf7180008022312.2	CcGene_06350
evm.model.jcf7180008022312.3	CcGene_06351
evm.model.jcf7180008022312.4	CcGene_06352
evm.model.jcf7180008022312.5	CcGene_06353
evm.model.jcf7180008022312.6	CcGene_06354
evm.model.jcf7180008022312.7	CcGene_06355
evm.model.jcf7180008022312.8	CcGene_06356
evm.model.jcf7180008022312.9	CcGene_06357
evm.model.jcf7180008022313.1	CcGene_06358
evm.model.jcf7180008022313.2	CcGene_06359
evm.model.jcf7180008022313.3	CcGene_06360
evm.model.jcf7180008022313.4	CcGene_06361
evm.model.jcf7180008022313.5	CcGene_06362
evm.model.jcf7180008022313.6	CcGene_06363
evm.model.jcf7180008022313.7	CcGene_06364
evm.model.jcf7180008022314.1	CcGene_06365
evm.model.jcf7180008022315.1	CcGene_06366
evm.model.jcf7180008022317.1	CcGene_06367
evm.model.jcf7180008022317.2	CcGene_06368
evm.model.jcf7180008022318.1	CcGene_06369
evm.model.jcf7180008022318.2	CcGene_06370
evm.model.jcf7180008022318.3	CcGene_06371
evm.model.jcf7180008022318.4	CcGene_06372
evm.model.jcf7180008022318.5	CcGene_06373
evm.model.jcf7180008022318.6	CcGene_06374
evm.model.jcf7180008022318.7	CcGene_06375
evm.model.jcf7180008022318.8	CcGene_06376
evm.model.jcf7180008022318.9	CcGene_06377
evm.model.jcf7180008022319.1	CcGene_06378
evm.model.jcf7180008022319.2	CcGene_06379
evm.model.jcf7180008022319.3	CcGene_06380
evm.model.jcf7180008022320.1	CcGene_06381
evm.model.jcf7180008022320.2	CcGene_06382
evm.model.jcf7180008022320.3	CcGene_06383
evm.model.jcf7180008022322.1	CcGene_06384
evm.model.jcf7180008022322.2	CcGene_06385
evm.model.jcf7180008022322.3	CcGene_06386
evm.model.jcf7180008022324.1	CcGene_06387
evm.model.jcf7180008022324.2	CcGene_06388
evm.model.jcf7180008022324.3	CcGene_06389
evm.model.jcf7180008022324.4	CcGene_06390
evm.model.jcf7180008022324.5	CcGene_06391
evm.model.jcf7180008022324.6	CcGene_06392
evm.model.jcf7180008022325.1	CcGene_06393
evm.model.jcf7180008022325.2	CcGene_06394
evm.model.jcf7180008022325.3	CcGene_06395
evm.model.jcf7180008022326.1	CcGene_06396
evm.model.jcf7180008022326.2	CcGene_06397
evm.model.jcf7180008022326.3	CcGene_06398
evm.model.jcf7180008022326.4	CcGene_06399
evm.model.jcf7180008022327.1	CcGene_06400
evm.model.jcf7180008022328.1	CcGene_06401
evm.model.jcf7180008022328.2	CcGene_06402
evm.model.jcf7180008022329.1	CcGene_06403
evm.model.jcf7180008022329.2	CcGene_06404
evm.model.jcf7180008022330.1	CcGene_06405
evm.model.jcf7180008022330.2	CcGene_06406
evm.model.jcf7180008022330.3	CcGene_06407
evm.model.jcf7180008022330.4	CcGene_06408
evm.model.jcf7180008022330.5	CcGene_06409
evm.model.jcf7180008022330.6	CcGene_06410
evm.model.jcf7180008022331.1	CcGene_06411
evm.model.jcf7180008022331.2	CcGene_06412
evm.model.jcf7180008022332.1	CcGene_06413
evm.model.jcf7180008022332.2	CcGene_06414
evm.model.jcf7180008022333.1	CcGene_06415
evm.model.jcf7180008022333.2	CcGene_06416
evm.model.jcf7180008022336.1	CcGene_06417
evm.model.jcf7180008022338.1	CcGene_06418
evm.model.jcf7180008022340.1	CcGene_06419
evm.model.jcf7180008022340.2	CcGene_06420
evm.model.jcf7180008022340.3	CcGene_06421
evm.model.jcf7180008022341.1	CcGene_06422
evm.model.jcf7180008022343.1	CcGene_06423
evm.model.jcf7180008022343.2	CcGene_06424
evm.model.jcf7180008022344.1	CcGene_06425
evm.model.jcf7180008022345.1	CcGene_06426
evm.model.jcf7180008022346.1	CcGene_06427
evm.model.jcf7180008022346.2	CcGene_06428
evm.model.jcf7180008022346.3	CcGene_06429
evm.model.jcf7180008022347.1	CcGene_06430
evm.model.jcf7180008022347.2	CcGene_06431
evm.model.jcf7180008022350.1	CcGene_06432
evm.model.jcf7180008022350.2	CcGene_06433
evm.model.jcf7180008022351.1	CcGene_06434
evm.model.jcf7180008022352.1	CcGene_06435
evm.model.jcf7180008022355.1	CcGene_06436
evm.model.jcf7180008022355.2	CcGene_06437
evm.model.jcf7180008022357.1	CcGene_06438
evm.model.jcf7180008022358.1	CcGene_06439
evm.model.jcf7180008022364.1	CcGene_06440
evm.model.jcf7180008022364.2	CcGene_06441
evm.model.jcf7180008022364.3	CcGene_06442
evm.model.jcf7180008022370.1	CcGene_06443
evm.model.jcf7180008022371.1	CcGene_06444
evm.model.jcf7180008022371.2	CcGene_06445
evm.model.jcf7180008022377.1	CcGene_06446
evm.model.jcf7180008022377.2	CcGene_06447
evm.model.jcf7180008022377.3	CcGene_06448
evm.model.jcf7180008022386.1	CcGene_06449
evm.model.jcf7180008022387.1	CcGene_06450
evm.model.jcf7180008022394.1	CcGene_06451
evm.model.jcf7180008022394.2	CcGene_06452
evm.model.jcf7180008022404.1	CcGene_06453
evm.model.jcf7180008022405.1	CcGene_06454
evm.model.jcf7180008022406.1	CcGene_06455
evm.model.jcf7180008022411.1	CcGene_06456
evm.model.jcf7180008022411.2	CcGene_06457
evm.model.jcf7180008022425.1	CcGene_06458
evm.model.jcf7180008022440.1	CcGene_06459
evm.model.jcf7180008022441.1	CcGene_06460
evm.model.jcf7180008022441.2	CcGene_06461
evm.model.jcf7180008022444.1	CcGene_06462
evm.model.jcf7180008022444.2	CcGene_06463
evm.model.jcf7180008022445.1	CcGene_06464
evm.model.jcf7180008022448.1	CcGene_06465
evm.model.jcf7180008022454.1	CcGene_06466
evm.model.jcf7180008022459.1	CcGene_06467
evm.model.jcf7180008022461.1	CcGene_06468
evm.model.jcf7180008022462.1	CcGene_06469
evm.model.jcf7180008022462.2	CcGene_06470
evm.model.jcf7180008022465.1	CcGene_06471
evm.model.jcf7180008022469.1	CcGene_06472
evm.model.jcf7180008022469.2	CcGene_06473
evm.model.jcf7180008022471.1	CcGene_06474
evm.model.jcf7180008022475.1	CcGene_06475
evm.model.jcf7180008022475.2	CcGene_06476
evm.model.jcf7180008022475.3	CcGene_06477
evm.model.jcf7180008022475.4	CcGene_06478
evm.model.jcf7180008022475.5	CcGene_06479
evm.model.jcf7180008022475.6	CcGene_06480
evm.model.jcf7180008022475.7	CcGene_06481
evm.model.jcf7180008022475.8	CcGene_06482
evm.model.jcf7180008022475.9	CcGene_06483
evm.model.jcf7180008022476.1	CcGene_06484
evm.model.jcf7180008022476.2	CcGene_06485
